Advanced Telemetry Systems' R4500S Series Receiver-Data Logger,,,,,,,,,
Csv Data File: C:\Users\NOAA AERD\Documents\Cape Shirreff 2016-17\DCC\AYM\16-17AYMwk12.csv,,,,,,,,,
 Generated: 2/18/2017,,,,,,,,,
Program: ATSWinRec_R4500S,Version: R4500S_1.0.0.0,Source:PC,,,,,,,
                                                  ,,,,,,,,,
                                                  ,,,,,,,,,
Yr,Day,Hr,Mn,Ant,Fr,Sig,NumPls,PR,NumMatch
17,43,21,1,1,164053,115,18,39,18
17,43,21,31,1,164053,92,20,39,18
17,43,22,1,1,164053,88,18,39,18
17,43,23,1,1,164053,81,18,39,18
17,45,0,1,1,164053,71,16,39,10
17,45,0,31,1,164053,87,19,39,19
17,45,1,31,1,164053,88,20,39,19
17,45,2,1,1,164053,80,11,39,4
17,45,2,31,1,164053,88,18,39,18
17,45,3,1,1,164053,85,19,39,18
17,45,4,1,1,164053,75,20,39,19
17,45,5,1,1,164053,77,7,39,5
17,45,9,1,1,164053,74,14,39,4
17,45,9,31,1,164053,85,20,39,19
17,46,14,1,1,164053,89,19,39,18
17,46,14,31,1,164053,111,18,39,18
17,46,15,1,1,164053,98,19,39,18
17,46,16,1,1,164053,71,16,39,8
17,46,17,1,1,164053,79,19,39,18
17,46,19,31,1,164053,78,18,39,4
17,46,20,1,1,164053,91,20,39,19
17,46,20,31,1,164053,100,19,39,18
17,47,7,1,1,164053,77,19,39,19
17,47,7,31,1,164053,65,13,39,6
17,47,9,1,1,164053,69,19,39,4
17,47,9,31,1,164053,70,14,39,11
17,47,10,1,1,164053,68,16,39,5
17,47,11,1,1,164053,98,19,39,19
17,47,11,31,1,164053,81,18,39,18
17,47,12,1,1,164053,90,19,39,18
17,47,12,31,1,164053,71,17,39,12
17,47,13,1,1,164053,77,17,39,12
17,42,18,43,1,164543,71,18,39,12
17,42,21,13,1,164543,71,14,39,4
17,42,23,13,1,164543,71,18,39,13
17,42,23,43,1,164543,68,19,39,4
17,43,0,13,1,164543,73,19,39,16
17,43,0,43,1,164543,74,17,39,6
17,43,1,43,1,164543,68,12,39,5
17,43,4,13,1,164543,74,19,39,19
17,43,4,43,1,164543,78,18,39,18
17,43,6,43,1,164543,69,18,39,10
17,43,7,13,1,164543,68,14,39,5
17,43,9,43,1,164543,72,16,39,9
17,43,10,43,1,164543,67,18,39,8
17,43,12,13,1,164543,70,12,39,4
17,43,13,13,1,164543,68,13,39,5
17,43,14,43,1,164543,70,13,39,8
17,43,15,13,1,164543,74,16,39,6
17,43,15,43,1,164543,78,19,39,18
17,47,18,43,1,164543,86,18,39,18
